medcodeid,ctd_cnd,ctd_weight
1785221000006119,1,.4
1785231000006116,1,.4
1785241000006114,1,.4
3813051000006112,1,.4
3813071000006119,1,.4
133918015,1,.4
1234831013,1,.4
3858261000006118,1,.4
3858251000006115,1,.4
3858241000006117,1,.4
3865081000006116,1,.4
141091000006112,1,.4
3865051000006112,1,.4
3865071000006119,1,.4
3865031000006117,1,.4
3865061000006114,1,.4
139708013,1,.4
3870451000006119,1,.4
3870471000006112,1,.4
2196791000000119,1,.4
3890511000006112,1,.4
141799013,1,.4
2275501000000119,1,.4
2275671000000111,1,.4
2275711000000112,1,.4
2275751000000111,1,.4
2275791000000115,1,.4
2275831000000110,1,.4
309413012,1,.4
3949101000006111,1,.4
3949131000006115,1,.4
147833014,1,.4
3949121000006118,1,.4
3949111000006114,1,.4
312581012,1,.4
909191000006119,1,.4
158372014,1,.4
4059661000006111,1,.4
158442019,1,.4
4060291000006118,1,.4
512234017,1,.4
4060271000006119,1,.4
2653371000006113,1,.4
2653431000006115,1,.4
718001000006112,1,.4
16833013,1,.4
2653421000006118,1,.4
2653411000006114,1,.4
2653361000006118,1,.4
2653381000006111,1,.4
2653391000006114,1,.4
309788014,1,.4
